word_count,char_count,char_count_no_spaces,sentence_count,avg_word_length,avg_sentence_length,unique_word_count,lexical_diversity,digit_count,digit_ratio,uppercase_count,uppercase_ratio,punctuation_count,punctuation_ratio,syllable_count,flesch_kincaid_score,is_short_text,is_long_text
186,1302,1117,1,6.005376344086022,186.0,149,0.8010752688172043,0,0.0,0,0.0,0,0.0,457,-182.63005376344086,0,1
309,2108,1800,1,5.825242718446602,309.0,232,0.7508090614886731,0,0.0,0,0.0,0,0.0,782,-346.9627346278317,0,1
947,6724,5778,1,6.101372756071806,947.0,574,0.6061246040126715,0,0.0,0,0.0,0,0.0,2429,-1178.4180095036959,0,1
351,2475,2125,1,6.054131054131054,351.0,263,0.7492877492877493,0,0.0,0,0.0,0,0.0,900,-403.5675641025641,0,1
443,3014,2572,1,5.805869074492099,443.0,315,0.7110609480812641,0,0.0,0,0.0,0,0.0,1083,-515.9911851015801,0,1
312,1957,1646,1,5.2756410256410255,312.0,204,0.6538461538461539,0,0.0,0,0.0,0,0.0,685,-330.71532051282054,0,1
2191,13885,11695,1,5.337745321770881,2191.0,1157,0.5280693747147421,0,0.0,0,0.0,0,0.0,4944,-2777.0808831583754,0,1
171,1179,1009,1,5.900584795321637,171.0,136,0.7953216374269005,0,0.0,0,0.0,0,0.0,420,-163.07903508771932,0,1
365,2296,1932,1,5.293150684931507,365.0,255,0.6986301369863014,0,0.0,0,0.0,0,0.0,826,-403.6721232876712,0,1
192,1381,1190,1,6.197916666666667,192.0,161,0.8385416666666666,0,0.0,0,0.0,0,0.0,502,-199.90145833333335,0,1
2089,13441,11353,1,5.4346577309717565,2089.0,1156,0.5533748204882719,0,0.0,0,0.0,0,0.0,4772,-2646.154229296314,0,1
507,3298,2792,1,5.506903353057199,507.0,333,0.6568047337278107,0,0.0,0,0.0,0,0.0,1210,-595.6989250493097,0,1
308,2005,1698,1,5.512987012987013,308.0,223,0.724025974025974,0,0.0,0,0.0,0,0.0,701,-330.35103896103897,0,1
448,3156,2709,1,6.046875,448.0,293,0.6540178571428571,0,0.0,0,0.0,0,0.0,1103,-523.5344196428571,0,1
405,2775,2371,1,5.854320987654321,405.0,259,0.6395061728395062,0,0.0,0,0.0,0,0.0,1017,-470.5827777777778,0,1
50,300,251,1,5.02,50.0,42,0.84,0,0.0,0,0.0,0,0.0,103,18.028999999999996,0,0
239,1512,1274,1,5.330543933054393,239.0,167,0.698744769874477,0,0.0,0,0.0,0,0.0,524,-235.6323640167364,0,1
167,1047,881,1,5.275449101796407,167.0,129,0.7724550898203593,0,0.0,0,0.0,0,0.0,367,-142.3410479041916,0,1
288,1985,1698,1,5.895833333333333,288.0,209,0.7256944444444444,0,0.0,0,0.0,0,0.0,727,-319.27576388888895,0,1
89,606,518,1,5.820224719101123,89.0,79,0.8876404494382022,0,0.0,0,0.0,0,0.0,215,-54.05039325842695,0,0
980,6724,5745,1,5.862244897959184,980.0,693,0.7071428571428572,0,0.0,0,0.0,0,0.0,2472,-1218.7641836734692,0,1
428,2884,2457,1,5.740654205607477,428.0,275,0.6425233644859814,0,0.0,0,0.0,0,0.0,1009,-491.24934579439247,0,1
83,581,499,1,6.0120481927710845,83.0,68,0.8192771084337349,0,0.0,0,0.0,0,0.0,203,-48.05656626506027,0,0
652,4364,3713,1,5.6947852760736195,652.0,460,0.7055214723926381,0,0.0,0,0.0,0,0.0,1561,-784.6547239263804,0,1
180,1151,972,1,5.4,180.0,135,0.75,0,0.0,0,0.0,0,0.0,415,-165.72888888888886,0,1
