Модель,Размер словаря,Мин. частота,Фрагментация (%),Коэф. сжатия,Реконструкция (%)
BPE,8000,2,31.22,0.685,100.0
WordPiece,8000,2,31.45,0.677,100.0
Unigram,8000,2,81.05,0.481,100.0
BPE,16000,2,31.22,0.685,100.0
WordPiece,16000,2,31.45,0.677,100.0
Unigram,16000,2,81.05,0.481,100.0
BPE,32000,2,31.22,0.685,100.0
WordPiece,32000,2,31.45,0.677,100.0
Unigram,32000,2,81.05,0.481,100.0
